top	id	flows	u	au	ch	piggyback	Sch	oaPer	oaMax	time	maxBuf	prod	hyper
0	0	29	3.989	3.195	1	0	-1	0.000	0	0	0	0	0
0	0	29	3.989	3.195	1	1	0	0.000	0	0	0	0	0
0	0	29	3.989	3.195	2	0	-1	0.000	0	0	0	0	0
0	0	29	3.989	3.195	2	1	0	0.000	0	0	0	0	0
0	0	29	3.989	3.195	4	0	1	0.000	0	235	4	65623	10000
0	0	29	3.989	3.195	4	1	1	19.276	7	185	5	62472	10000
0	0	29	3.989	3.195	8	0	1	0.000	0	147	4	39908	10000
0	0	29	3.989	3.195	8	1	1	18.547	5	104	5	38463	10000
0	0	29	3.989	3.195	16	0	1	0.000	0	70	5	43009	10000
0	0	29	3.989	3.195	16	1	1	19.380	7	47	6	34404	10000
0	1	29	9.400	7.364	1	0	-1	0.000	0	0	0	0	0
0	1	29	9.400	7.364	1	1	0	0.000	0	0	0	0	0
0	1	29	9.400	7.364	2	0	-1	0.000	0	0	0	0	0
0	1	29	9.400	7.364	2	1	0	0.000	0	0	0	0	0
0	1	29	9.400	7.364	4	0	-1	0.000	0	0	0	0	0
0	1	29	9.400	7.364	4	1	0	0.000	0	0	0	0	0
0	1	29	9.400	7.364	8	0	0	0.000	0	0	0	0	0
0	1	29	9.400	7.364	8	1	1	24.194	5	114	5	92911	10000
0	1	29	9.400	7.364	16	0	1	0.000	0	129	5	132705	10000
0	1	29	9.400	7.364	16	1	1	25.212	6	87	5	83422	10000
0	2	29	3.604	3.036	1	0	-1	0.000	0	0	0	0	0
0	2	29	3.604	3.036	1	1	0	0.000	0	0	0	0	0
0	2	29	3.604	3.036	2	0	-1	0.000	0	0	0	0	0
0	2	29	3.604	3.036	2	1	0	0.000	0	0	0	0	0
0	2	29	3.604	3.036	4	0	1	0.000	0	77	4	48602	10000
0	2	29	3.604	3.036	4	1	1	17.147	7	62	5	46174	10000
0	2	29	3.604	3.036	8	0	1	0.000	0	52	4	35736	10000
0	2	29	3.604	3.036	8	1	1	16.695	5	38	4	33779	10000
0	2	29	3.604	3.036	16	0	1	0.000	0	38	5	41857	10000
0	2	29	3.604	3.036	16	1	1	22.694	8	38	8	31409	10000
0	3	29	16.667	14.628	1	0	-1	0.000	0	0	0	0	0
0	3	29	16.667	14.628	1	1	0	0.000	0	0	0	0	0
0	3	29	16.667	14.628	2	0	-1	0.000	0	0	0	0	0
0	3	29	16.667	14.628	2	1	0	0.000	0	0	0	0	0
0	3	29	16.667	14.628	4	0	-1	0.000	0	0	0	0	0
0	3	29	16.667	14.628	4	1	0	0.000	0	0	0	0	0
0	3	29	16.667	14.628	8	0	-1	0.000	0	0	0	0	0
0	3	29	16.667	14.628	8	1	0	0.000	0	0	0	0	0
0	3	29	16.667	14.628	16	0	0	0.000	0	0	0	0	0
0	3	29	16.667	14.628	16	1	1	28.342	9	36	9	36029	2000
0	4	29	18.468	15.561	1	0	-1	0.000	0	0	0	0	0
0	4	29	18.468	15.561	1	1	0	0.000	0	0	0	0	0
0	4	29	18.468	15.561	2	0	-1	0.000	0	0	0	0	0
0	4	29	18.468	15.561	2	1	0	0.000	0	0	0	0	0
0	4	29	18.468	15.561	4	0	-1	0.000	0	0	0	0	0
0	4	29	18.468	15.561	4	1	0	0.000	0	0	0	0	0
0	4	29	18.468	15.561	8	0	-1	0.000	0	0	0	0	0
0	4	29	18.468	15.561	8	1	0	0.000	0	0	0	0	0
0	4	29	18.468	15.561	16	0	0	0.000	0	0	0	0	0
0	4	29	18.468	15.561	16	1	0	0.000	0	0	0	0	0
0	5	29	2.269	1.847	1	0	-1	0.000	0	0	0	0	0
0	5	29	2.269	1.847	1	1	0	0.000	0	0	0	0	0
