top	id	flows	u	au	ch	piggyback	Sch	oaPer	oaMax	time	maxBuf	prod	hyper
0	0	29	3.989	3.195	1	0	-1	0.000	0	0	0	0	0
0	0	29	3.989	3.195	1	1	0	0.000	0	0	0	0	0
0	0	29	3.989	3.195	2	0	-1	0.000	0	0	0	0	0
0	0	29	3.989	3.195	2	1	0	0.000	0	0	0	0	0
0	0	29	3.989	3.195	4	0	1	0.000	0	128	3	38973	10000
0	0	29	3.989	3.195	4	1	1	14.175	4	105	4	49442	10000
0	0	29	3.989	3.195	8	0	1	0.000	0	80	3	36266	10000
0	0	29	3.989	3.195	8	1	1	14.795	6	67	5	37236	10000
0	0	29	3.989	3.195	16	0	1	0.000	0	78	5	42736	10000
0	0	29	3.989	3.195	16	1	1	18.134	8	74	7	34149	10000
0	1	29	2.188	1.755	1	0	-1	0.000	0	0	0	0	0
0	1	29	2.188	1.755	1	1	0	0.000	0	0	0	0	0
0	1	29	2.188	1.755	2	0	0	0.000	0	0	0	0	0
0	1	29	2.188	1.755	2	1	1	13.072	5	86	5	43737	10000
0	1	29	2.188	1.755	4	0	1	0.000	0	59	3	19397	10000
0	1	29	2.188	1.755	4	1	1	12.895	5	52	5	22995	10000
0	1	29	2.188	1.755	8	0	1	0.000	0	43	4	19506	10000
0	1	29	2.188	1.755	8	1	1	15.083	6	42	5	18866	10000
0	1	29	2.188	1.755	16	0	1	0.000	0	47	7	21856	10000
0	1	29	2.188	1.755	16	1	1	15.716	9	30	8	17732	10000
0	2	29	16.667	14.628	1	0	-1	0.000	0	0	0	0	0
0	2	29	16.667	14.628	1	1	0	0.000	0	0	0	0	0
0	2	29	16.667	14.628	2	0	-1	0.000	0	0	0	0	0
0	2	29	16.667	14.628	2	1	0	0.000	0	0	0	0	0
0	2	29	16.667	14.628	4	0	-1	0.000	0	0	0	0	0
0	2	29	16.667	14.628	4	1	0	0.000	0	0	0	0	0
0	2	29	16.667	14.628	8	0	-1	0.000	0	0	0	0	0
0	2	29	16.667	14.628	8	1	0	0.000	0	0	0	0	0
0	2	29	16.667	14.628	16	0	0	0.000	0	0	0	0	0
0	2	29	16.667	14.628	16	1	0	0.000	0	0	0	0	0
0	3	29	15.655	13.135	1	0	-1	0.000	0	0	0	0	0
0	3	29	15.655	13.135	1	1	0	0.000	0	0	0	0	0
0	3	29	15.655	13.135	2	0	-1	0.000	0	0	0	0	0
0	3	29	15.655	13.135	2	1	0	0.000	0	0	0	0	0
0	3	29	15.655	13.135	4	0	-1	0.000	0	0	0	0	0
0	3	29	15.655	13.135	4	1	0	0.000	0	0	0	0	0
0	3	29	15.655	13.135	8	0	-1	0.000	0	0	0	0	0
0	3	29	15.655	13.135	8	1	0	0.000	0	0	0	0	0
0	3	29	15.655	13.135	16	0	0	0.000	0	0	0	0	0
0	3	29	15.655	13.135	16	1	0	0.000	0	0	0	0	0
0	4	29	1.399	1.067	1	0	-1	0.000	0	0	0	0	0
0	4	29	1.399	1.067	1	1	1	13.816	5	77	4	55344	10000
0	4	29	1.399	1.067	2	0	1	0.000	0	46	2	11915	10000
0	4	29	1.399	1.067	2	1	1	9.710	5	43	3	18875	10000
0	4	29	1.399	1.067	4	0	1	0.000	0	38	2	10639	10000
0	4	29	1.399	1.067	4	1	1	8.989	4	35	4	13180	10000
0	4	29	1.399	1.067	8	0	1	0.000	0	32	3	11943	10000
0	4	29	1.399	1.067	8	1	1	12.738	5	31	5	11907	10000
0	4	29	1.399	1.067	16	0	1	0.000	0	25	6	13812	10000
0	4	29	1.399	1.067	16	1	1	16.093	12	24	10	11256	10000
0	5	29	17.624	14.671	1	0	-1	0.000	0	0	0	0	0
0	5	29	17.624	14.671	1	1	0	0.000	0	0	0	0	0
