P1,P2
0.999989,0.999994
0.999994,0.999997
0.999482,0.999969
0.999998,0.999999
0.999886,0.999899
0.996676,0.999414
0.999971,0.999988
0.995578,0.999560
0.999376,0.999450
1.000000,1.000000
0.995892,1.000000
0.999741,0.999985
0.998924,0.999296
1.000000,1.000000
0.999999,0.999999
0.999992,1.000000
0.999999,1.000000
0.988808,0.990560
0.993508,1.000000
0.993689,0.993689
0.999922,0.999928
0.999994,1.000000
0.999943,0.999943
0.999957,1.000000
0.996531,0.996531
0.994203,0.994910
1.000000,1.000000
1.000000,1.000000
0.995518,0.998224
1.000000,1.000000
0.996822,0.999789
1.000000,1.000000
1.000000,1.000000
0.999999,1.000000
0.999991,0.999991
0.999999,1.000000
0.999342,0.999342
1.000000,1.000000
1.000000,1.000000
0.999907,1.000000
1.000000,1.000000
1.000000,1.000000
0.964233,0.964233
0.999827,0.999916
1.000000,1.000000
0.998262,0.999120
1.000000,1.000000
0.998992,0.999129
1.000000,1.000000
0.997669,0.997669
0.999999,0.999999
0.999969,0.999969
0.996674,0.999955
0.999998,0.999998
0.999972,0.999972
0.994071,0.995307
0.995972,0.995976
0.989622,0.989622
1.000000,1.000000
0.999113,0.999163
1.000000,1.000000
0.988893,0.993385
0.972589,0.985774
0.991650,0.999629
1.000000,1.000000
0.999642,0.999809
0.968720,0.969182
0.932061,0.964707
1.000000,1.000000
0.999960,0.999960
0.999275,0.999589
1.000000,1.000000
1.000000,1.000000
0.991266,0.996500
0.989417,0.994679
0.967165,0.981882
1.000000,1.000000
1.000000,1.000000
0.998993,0.999478
1.000000,1.000000
0.999726,1.000000
0.999662,1.000000
0.994286,0.999823
0.999470,0.999499
0.995280,0.996209
0.995246,0.995246
0.999856,0.999943
0.977254,0.994672
0.998365,0.999360
0.983683,0.992009
1.000000,1.000000
0.998267,0.999328
0.999844,0.999957
0.999836,0.999836
0.994978,0.995178
1.000000,1.000000
0.999629,0.999629
0.994173,0.999560
0.999993,0.999993
0.990499,0.990499
0.995919,0.995934
0.981463,0.985879
0.999786,0.999786
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
0.978351,0.987730
1.000000,1.000000
0.999970,0.999970
1.000000,1.000000
1.000000,1.000000
0.999951,0.999964
0.999973,0.999998
1.000000,1.000000
1.000000,1.000000
0.999998,0.999998
1.000000,1.000000
0.998536,0.999234
0.992687,0.999437
1.000000,1.000000
0.999913,0.999950
0.986584,0.998238
0.999989,0.999990
0.999978,0.999978
1.000000,1.000000
1.000000,1.000000
0.999999,0.999999
1.000000,1.000000
1.000000,1.000000
0.999996,1.000000
0.998557,1.000000
1.000000,1.000000
0.999948,0.999948
0.999617,0.999617
0.999999,0.999999
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
0.999998,1.000000
0.999601,1.000000
0.993391,0.993392
1.000000,1.000000
0.999986,1.000000
1.000000,1.000000
1.000000,1.000000
0.999996,0.999996
0.999637,0.999696
0.999999,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
0.999997,0.999997
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
0.999996,0.999998
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
0.999999,1.000000
1.000000,1.000000
0.999999,1.000000
0.999340,0.999378
1.000000,1.000000
1.000000,1.000000
0.999979,0.999998
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
0.999848,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
0.999999,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
0.999994,0.999997
1.000000,1.000000
0.999999,1.000000
0.999996,1.000000
0.999940,0.999940
0.999774,0.999916
0.999995,0.999995
1.000000,1.000000
0.982585,0.992189
1.000000,1.000000
0.998898,0.998904
0.999999,0.999999
0.999910,0.999994
1.000000,1.000000
0.999631,0.999631
0.994692,0.997667
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
0.998936,0.999844
0.999785,0.999785
1.000000,1.000000
0.999510,0.999554
0.992909,0.999487
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
0.999995,0.999997
1.000000,1.000000
0.999975,0.999975
0.999586,0.999586
0.999987,0.999994
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
0.997982,0.997996
0.999324,1.000000
0.998469,0.998542
0.999734,0.999809
0.967726,0.977787
1.000000,1.000000
0.984317,0.998455
0.999987,0.999988
0.999999,0.999999
1.000000,1.000000
0.999909,1.000000
0.999999,1.000000
0.999273,0.999741
1.000000,1.000000
1.000000,1.000000
0.999979,1.000000
1.000000,1.000000
0.998119,0.999686
0.999500,0.999524
1.000000,1.000000
0.999874,0.999875
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
0.999564,0.999564
1.000000,1.000000
1.000000,1.000000
0.997548,0.998964
0.987340,0.990985
0.999137,0.999207
1.000000,1.000000
1.000000,1.000000
0.999997,0.999999
1.000000,1.000000
0.999919,0.999928
1.000000,1.000000
1.000000,1.000000
0.999999,0.999999
0.999765,1.000000
0.999754,0.999875
0.998350,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
0.998433,0.999861
0.998592,0.999432
0.997828,0.999997
0.997392,0.997392
0.999995,1.000000
0.999432,0.999432
0.992626,0.992627
1.000000,1.000000
0.997611,0.997614
0.996908,0.999111
0.999994,0.999998
0.999999,1.000000
0.999139,0.999307
0.992049,0.999976
0.981580,0.981581
0.991337,0.998864
0.991714,0.999228
0.998971,0.999639
0.987650,0.998580
0.999998,1.000000
0.998336,0.998336
0.996528,0.999506
0.999999,0.999999
0.997473,0.999003
1.000000,1.000000
0.996774,0.998616
0.998477,0.998478
0.999999,1.000000
0.999999,0.999999
0.997920,0.999996
1.000000,1.000000
0.998045,0.999678
1.000000,1.000000
0.994486,0.998861
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
0.997897,0.997933
1.000000,1.000000
0.999995,1.000000
0.999433,0.999434
0.999514,0.999998
0.999093,0.999532
1.000000,1.000000
0.999275,0.999991
0.999992,0.999993
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
0.999729,0.999730
0.989957,0.998668
1.000000,1.000000
0.999993,0.999994
0.997068,0.997070
1.000000,1.000000
0.998863,0.999730
1.000000,1.000000
0.998296,0.999660
1.000000,1.000000
1.000000,1.000000
0.999784,1.000000
1.000000,1.000000
1.000000,1.000000
0.999998,0.999998
0.999624,0.999625
0.999890,1.000000
1.000000,1.000000
0.999998,0.999998
0.999999,0.999999
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
0.991523,0.999998
0.999998,0.999998
0.999998,0.999998
0.999998,0.999998
1.000000,1.000000
0.990708,0.990708
1.000000,1.000000
0.999978,0.999994
0.999987,0.999999
0.998056,0.998058
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
0.999108,0.999513
0.999999,0.999999
0.999962,0.999986
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
0.999672,1.000000
0.999996,0.999998
0.987583,0.990967
0.999453,0.999460
1.000000,1.000000
0.997648,1.000000
1.000000,1.000000
0.999963,0.999963
0.999955,0.999998
1.000000,1.000000
1.000000,1.000000
0.999995,0.999995
0.991597,1.000000
0.992545,0.994941
1.000000,1.000000
0.996012,0.999983
1.000000,1.000000
1.000000,1.000000
0.997866,0.999665
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
0.996262,0.996760
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
0.997500,0.997891
0.997906,0.998326
1.000000,1.000000
1.000000,1.000000
0.959273,0.972753
1.000000,1.000000
1.000000,1.000000
0.999942,0.999942
0.998208,0.998721
1.000000,1.000000
1.000000,1.000000
0.977967,0.992158
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
0.983592,0.983592
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
0.999974,0.999980
1.000000,1.000000
1.000000,1.000000
0.998442,0.998442
0.995655,0.997138
0.999986,0.999992
1.000000,1.000000
0.999996,1.000000
0.999996,1.000000
0.999999,1.000000
0.999998,1.000000
1.000000,1.000000
1.000000,1.000000
0.997631,0.997631
0.998927,0.999211
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
0.999976,0.999980
0.999051,0.999085
0.999988,0.999988
1.000000,1.000000
0.999953,1.000000
0.999993,0.999996
0.999995,1.000000
0.999988,1.000000
1.000000,1.000000
0.999997,1.000000
1.000000,1.000000
1.000000,1.000000
0.999731,0.999731
0.999996,1.000000
1.000000,1.000000
1.000000,1.000000
0.999952,0.999952
0.999620,0.999809
1.000000,1.000000
1.000000,1.000000
0.999874,0.999984
0.999998,1.000000
0.998593,0.999572
0.999232,0.999250
0.999578,0.999990
0.999955,0.999960
1.000000,1.000000
0.999997,0.999998
0.988252,0.990144
1.000000,1.000000
0.999815,0.999995
0.999994,0.999994
0.999978,1.000000
0.991783,0.995482
0.999998,0.999998
0.999950,1.000000
0.999497,0.999772
0.998199,0.999992
1.000000,1.000000
0.999706,0.999900
1.000000,1.000000
0.999809,1.000000
0.979180,0.997757
0.980809,0.984844
1.000000,1.000000
0.999967,0.999997
0.999609,0.999826
0.997757,0.998246
0.980753,1.000000
0.977963,0.997907
0.999185,1.000000
0.999669,0.999779
0.999993,1.000000
0.984602,0.999979
1.000000,1.000000
0.998518,0.998568
0.999992,0.999993
1.000000,1.000000
0.963840,0.988763
1.000000,1.000000
0.999690,0.999777
0.995717,0.997630
0.998769,0.999929
0.999972,0.999974
1.000000,1.000000
0.999727,0.999727
0.991454,0.991454
0.999948,1.000000
1.000000,1.000000
0.999990,0.999994
0.999108,0.999578
0.999759,0.999884
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
0.998984,0.999867
0.986381,0.986381
0.999972,0.999972
1.000000,1.000000
0.999990,1.000000
0.999033,0.999033
0.996915,0.996976
0.997844,0.998816
0.999997,0.999998
0.997819,0.997832
0.999998,0.999998
0.981203,0.981214
0.999684,0.999785
1.000000,1.000000
0.983561,0.985321
0.994284,0.996761
0.995493,0.997432
1.000000,1.000000
0.969559,0.972605
0.999997,0.999997
0.962785,0.979422
0.965715,0.983118
0.999999,0.999999
0.999998,0.999998
0.992088,0.992088
0.999941,0.999950
1.000000,1.000000
1.000000,1.000000
0.998019,0.999987
0.999992,0.999992
1.000000,1.000000
0.999950,0.999975
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
0.999987,0.999993
0.999545,1.000000
1.000000,1.000000
0.999999,0.999999
1.000000,1.000000
0.999958,0.999958
0.999421,0.999421
0.997364,1.000000
0.998612,0.999287
0.999825,0.999839
0.999991,0.999998
0.998864,0.999992
0.998656,0.998657
0.999323,0.999420
0.999572,0.999885
0.999979,0.999988
0.998735,0.999301
1.000000,1.000000
0.997083,0.997084
0.999998,1.000000
1.000000,1.000000
0.999987,0.999988
1.000000,1.000000
0.999373,0.999781
0.999574,0.999852
0.999998,0.999999
0.997705,0.997707
0.999852,1.000000
0.999975,0.999993
0.999994,0.999999
0.999973,0.999977
0.999999,0.999999
1.000000,1.000000
0.999998,1.000000
0.993886,0.996702
0.992708,0.992708
0.998716,0.998731
0.988059,0.995576
0.989771,0.991363
1.000000,1.000000
0.999972,0.999972
0.999802,0.999959
0.999543,0.999686
1.000000,1.000000
0.999839,0.999954
0.999926,0.999959
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
0.999687,0.999913
1.000000,1.000000
0.999943,0.999971
1.000000,1.000000
1.000000,1.000000
0.999975,0.999978
1.000000,1.000000
0.999960,0.999989
1.000000,1.000000
0.999993,1.000000
0.996680,0.999985
1.000000,1.000000
1.000000,1.000000
0.999990,0.999997
1.000000,1.000000
1.000000,1.000000
0.999998,0.999998
0.999762,0.999762
1.000000,1.000000
0.999999,1.000000
0.999286,0.999286
0.999302,0.999988
0.999747,1.000000
1.000000,1.000000
1.000000,1.000000
0.999801,0.999804
0.995621,0.995806
0.999833,0.999844
0.999999,1.000000
1.000000,1.000000
0.999964,0.999999
0.999890,0.999890
0.999991,0.999993
0.999984,0.999984
0.999686,1.000000
0.999984,0.999984
0.999971,0.999972
0.999994,1.000000
0.999023,0.999037
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
0.998727,0.998728
0.999957,0.999993
1.000000,1.000000
1.000000,1.000000
0.999535,0.999797
1.000000,1.000000
1.000000,1.000000
0.986008,0.999992
0.998603,0.998603
0.999988,0.999988
1.000000,1.000000
1.000000,1.000000
0.999999,0.999999
0.997420,0.999638
0.989437,0.999966
1.000000,1.000000
0.998286,0.999997
0.999595,0.999824
1.000000,1.000000
1.000000,1.000000
0.999428,1.000000
1.000000,1.000000
0.998966,0.998966
0.999998,1.000000
1.000000,1.000000
0.984335,0.997348
1.000000,1.000000
0.999694,0.999694
0.999148,0.999502
1.000000,1.000000
0.995316,0.995318
1.000000,1.000000
1.000000,1.000000
0.999915,1.000000
0.999983,0.999983
0.999996,0.999998
1.000000,1.000000
0.999950,0.999979
0.999998,0.999998
0.999956,1.000000
1.000000,1.000000
0.999999,1.000000
1.000000,1.000000
0.999988,0.999994
1.000000,1.000000
0.999999,0.999999
0.999999,1.000000
1.000000,1.000000
1.000000,1.000000
0.999998,0.999998
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
0.998679,0.998679
0.999997,0.999998
1.000000,1.000000
1.000000,1.000000
0.999891,0.999893
0.996819,0.996833
0.999051,0.999182
0.999891,0.999896
0.999785,0.999785
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
0.999655,0.999664
0.999524,0.999524
1.000000,1.000000
0.999525,0.999841
1.000000,1.000000
0.998500,1.000000
0.999996,1.000000
0.999946,0.999995
0.994364,0.995297
0.992916,0.995748
1.000000,1.000000
1.000000,1.000000
0.998126,0.999994
0.994003,0.999611
0.999992,0.999995
1.000000,1.000000
0.965056,0.980635
1.000000,1.000000
0.997257,0.998416
0.998593,0.998819
0.998289,0.998322
0.975037,1.000000
0.995749,0.995749
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
0.998917,0.998919
1.000000,1.000000
0.999886,1.000000
0.999865,1.000000
0.997190,0.999881
1.000000,1.000000
0.995840,0.999797
0.999998,0.999998
1.000000,1.000000
0.999999,1.000000
1.000000,1.000000
0.999879,0.999997
0.999998,1.000000
1.000000,1.000000
0.991465,0.992782
1.000000,1.000000
0.996174,0.998065
0.996648,0.998232
1.000000,1.000000
0.998428,0.999989
0.999990,0.999991
1.000000,1.000000
0.999981,0.999981
0.999963,0.999999
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
0.998955,1.000000
0.999910,1.000000
0.999401,0.999417
1.000000,1.000000
0.999990,0.999990
0.999988,0.999994
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
0.999984,0.999984
0.999488,0.999491
0.997838,0.999824
1.000000,1.000000
0.997538,0.997539
1.000000,1.000000
0.999994,0.999997
0.999909,0.999997
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
0.997378,0.999333
0.999997,1.000000
0.999997,0.999999
1.000000,1.000000
0.999999,1.000000
0.998812,0.998812
0.998001,0.998007
0.999951,1.000000
1.000000,1.000000
1.000000,1.000000
0.999943,0.999964
0.999961,0.999961
0.999115,1.000000
1.000000,1.000000
0.983518,0.997531
0.992040,0.992040
0.999885,0.999954
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
0.999996,0.999998
1.000000,1.000000
0.999989,0.999992
1.000000,1.000000
1.000000,1.000000
0.997613,0.999322
1.000000,1.000000
1.000000,1.000000
0.953089,0.965394
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
0.999815,0.999815
1.000000,1.000000
0.989854,0.989854
1.000000,1.000000
0.967023,0.967119
0.996650,0.997054
0.999733,0.999818
0.993533,0.998000
1.000000,1.000000
1.000000,1.000000
0.999999,0.999999
0.999999,1.000000
1.000000,1.000000
0.999960,0.999961
0.996999,1.000000
0.983022,0.983159
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
0.979154,0.999986
0.994095,0.994144
0.993229,0.996370
1.000000,1.000000
0.981430,0.999998
1.000000,1.000000
1.000000,1.000000
0.999768,0.999889
1.000000,1.000000
0.999997,0.999999
0.999812,0.999905
0.999346,1.000000
0.999937,0.999968
0.991658,0.993559
0.999999,1.000000
0.999884,0.999935
1.000000,1.000000
0.999447,0.999738
