1P,2P
0.956010,0.975790
0.939299,0.978221
0.893281,0.936666
0.926605,0.960601
0.952404,0.972079
0.958690,0.981276
0.963257,0.979323
0.966932,0.981774
0.941463,0.966893
0.955073,0.979279
0.959411,0.982151
0.926117,0.954616
0.913176,0.948242
0.962182,0.984869
0.904761,0.938480
0.915008,0.949145
0.902677,0.939439
0.943059,0.969463
0.922667,0.953985
0.952658,0.981364
0.926402,0.960020
0.875777,0.924048
0.886148,0.925565
0.950838,0.974102
0.932920,0.956421
0.990732,0.995394
0.977626,0.986579
0.977797,0.983973
0.993260,0.996482
0.964877,0.981131
0.977386,0.992239
0.978717,0.988530
0.980381,0.989739
0.955732,0.971754
0.983590,0.991027
0.880301,0.929385
0.994764,0.997955
0.978042,0.985414
0.959810,0.977550
0.990309,0.994451
0.979751,0.989125
0.991191,0.995735
0.986733,0.991509
0.966229,0.981584
0.985362,0.993311
0.940987,0.965646
0.949650,0.970732
0.919229,0.952140
0.886251,0.935465
0.957982,0.975608
0.922891,0.970097
0.904038,0.938439
0.932327,0.973224
0.961474,0.977818
0.965362,0.981257
0.957209,0.975752
0.953710,0.970415
0.944989,0.983930
0.947408,0.969423
0.975369,0.988677
0.955612,0.984347
0.948907,0.970252
0.954212,0.975556
0.930131,0.977680
0.961313,0.975929
0.917153,0.952519
0.937087,0.964431
0.914102,0.962132
0.968461,0.982200
0.937243,0.975654
0.946245,0.969758
0.931139,0.964763
0.947581,0.969284
0.977091,0.987412
0.981773,0.990267
0.949602,0.980840
0.910800,0.940602
0.939271,0.963675
0.940609,0.976998
0.972975,0.986449
0.945374,0.976072
0.931655,0.974586
0.898635,0.941007
0.928970,0.972677
0.953610,0.981643
0.941367,0.967048
0.960482,0.988307
0.923139,0.974410
0.928200,0.970439
0.919160,0.971736
0.968819,0.981513
0.921812,0.961397
0.931784,0.972352
0.931679,0.971161
0.941452,0.977071
0.954221,0.974119
0.938342,0.964150
0.926108,0.984918
0.928649,0.966602
0.957222,0.974598
0.995761,0.997511
0.973955,0.986128
0.939574,0.987158
0.967529,0.981035
0.911489,0.974079
0.868105,0.959010
0.956916,0.974541
0.875942,0.954067
0.973987,0.985197
0.864230,0.961953
0.873160,0.945881
0.915235,0.960332
0.936474,0.983710
0.975142,0.985706
0.976083,0.986120
0.888497,0.945073
0.927337,0.974301
0.973138,0.984355
0.938038,0.986333
0.922432,0.984835
0.959662,0.976269
0.960881,0.978005
0.939918,0.964232
0.979201,0.987229
0.967583,0.981428
0.954517,0.973527
0.866346,0.920941
0.990137,0.996255
0.977689,0.986523
0.981478,0.990142
0.943192,0.963099
0.968280,0.982104
0.971642,0.984783
0.951136,0.967335
0.985275,0.989921
