top	id	flows	shortSchedule	au	ch	piggyback	Sch	oaPer	oaMax	time	maxBuf	prod	hyper	hyp-trans	rep-trans	nonempty-slots
0	0	29	0	11.515	1	0	-1	0.000	0	0	0	0	0	0	0	0
0	0	29	1	11.515	1	0	-1	0.000	0	0	0	0	0	0	0	0
0	0	29	0	11.515	2	0	-1	0.000	0	0	0	0	0	0	0	0
0	0	29	1	11.515	2	0	-1	0.000	0	0	0	0	0	0	0	0
0	0	29	0	11.515	4	0	-1	0.000	0	0	0	0	0	0	0	0
0	0	29	1	11.515	4	0	-1	0.000	0	0	0	0	0	0	0	0
0	0	29	0	11.515	8	0	-1	0.000	0	0	0	0	0	0	0	0
0	0	29	1	11.515	8	0	-1	0.000	0	0	0	0	0	0	0	0
0	0	29	0	11.515	16	0	0	0.000	0	0	0	0	0	0	0	0
0	0	29	1	11.515	16	0	0	0.000	0	0	0	0	0	0	0	0
0	1	29	0	10.998	1	0	-1	0.000	0	0	0	0	0	0	0	0
0	1	29	1	10.998	1	0	-1	0.000	0	0	0	0	0	0	0	0
0	1	29	0	10.998	2	0	-1	0.000	0	0	0	0	0	0	0	0
0	1	29	1	10.998	2	0	-1	0.000	0	0	0	0	0	0	0	0
0	1	29	0	10.998	4	0	-1	0.000	0	0	0	0	0	0	0	0
0	1	29	1	10.998	4	0	-1	0.000	0	0	0	0	0	0	0	0
0	1	29	0	10.998	8	0	-1	0.000	0	0	0	0	0	0	0	0
0	1	29	1	10.998	8	0	-1	0.000	0	0	0	0	0	0	0	0
0	1	29	0	10.998	16	0	0	0.000	0	0	0	0	0	0	0	0
0	1	29	1	10.998	16	0	0	0.000	0	0	0	0	0	0	0	0
0	2	29	0	7.251	1	0	-1	0.000	0	0	0	0	0	0	0	0
0	2	29	1	7.251	1	0	-1	0.000	0	0	0	0	0	0	0	0
0	2	29	0	7.251	2	0	-1	0.000	0	0	0	0	0	0	0	0
0	2	29	1	7.251	2	0	-1	0.000	0	0	0	0	0	0	0	0
0	2	29	0	7.251	4	0	-1	0.000	0	0	0	0	0	0	0	0
0	2	29	1	7.251	4	0	-1	0.000	0	0	0	0	0	0	0	0
0	2	29	0	7.251	8	0	0	0.000	0	0	0	0	0	0	0	0
0	2	29	1	7.251	8	0	0	0.000	0	0	0	0	0	0	0	0
0	2	29	0	7.251	16	0	0	0.000	0	0	0	0	0	0	0	0
0	2	29	1	7.251	16	0	0	0.000	0	0	0	0	0	0	0	0
0	3	29	0	2.223	1	0	-1	0.000	0	0	0	0	0	0	0	0
0	3	29	1	2.223	1	0	-1	0.000	0	0	0	0	0	0	0	0
0	3	29	0	2.223	2	0	-1	0.000	0	0	0	0	0	0	0	0
0	3	29	1	2.223	2	0	-1	0.000	0	0	0	0	0	0	0	0
0	3	29	0	2.223	4	0	1	0.000	0	171148737	3	19989	8192	18210	692	4884
0	3	29	1	2.223	4	0	0	0.000	0	0	0	0	0	0	0	0
0	3	29	0	2.223	8	0	1	0.000	0	94503277	3	22642	8192	18210	692	2896
0	3	29	1	2.223	8	0	0	0.000	0	0	0	0	0	0	0	0
0	3	29	0	2.223	16	0	1	0.000	0	73233944	6	36182	8192	18210	692	2776
0	3	29	1	2.223	16	0	0	0.000	0	0	0	0	0	0	0	0
0	4	29	0	7.521	1	0	-1	0.000	0	0	0	0	0	0	0	0
0	4	29	1	7.521	1	0	-1	0.000	0	0	0	0	0	0	0	0
0	4	29	0	7.521	2	0	-1	0.000	0	0	0	0	0	0	0	0
0	4	29	1	7.521	2	0	-1	0.000	0	0	0	0	0	0	0	0
0	4	29	0	7.521	4	0	-1	0.000	0	0	0	0	0	0	0	0
0	4	29	1	7.521	4	0	-1	0.000	0	0	0	0	0	0	0	0
0	4	29	0	7.521	8	0	0	0.000	0	0	0	0	0	0	0	0
0	4	29	1	7.521	8	0	0	0.000	0	0	0	0	0	0	0	0
0	4	29	0	7.521	16	0	0	0.000	0	0	0	0	0	0	0	0
0	4	29	1	7.521	16	0	0	0.000	0	0	0	0	0	0	0	0
0	5	29	0	8.779	1	0	-1	0.000	0	0	0	0	0	0	0	0
0	5	29	1	8.779	1	0	-1	0.000	0	0	0	0	0	0	0	0
0	5	29	0	8.779	2	0	-1	0.000	0	0	0	0	0	0	0	0
0	5	29	1	8.779	2	0	-1	0.000	0	0	0	0	0	0	0	0
0	5	29	0	8.779	4	0	-1	0.000	0	0	0	0	0	0	0	0
0	5	29	1	8.779	4	0	-1	0.000	0	0	0	0	0	0	0	0
0	5	29	0	8.779	8	0	-1	0.000	0	0	0	0	0	0	0	0
0	5	29	1	8.779	8	0	-1	0.000	0	0	0	0	0	0	0	0
0	5	29	0	8.779	16	0	0	0.000	0	0	0	0	0	0	0	0
0	5	29	1	8.779	16	0	0	0.000	0	0	0	0	0	0	0	0
0	6	29	0	10.395	1	0	-1	0.000	0	0	0	0	0	0	0	0
0	6	29	1	10.395	1	0	-1	0.000	0	0	0	0	0	0	0	0
0	6	29	0	10.395	2	0	-1	0.000	0	0	0	0	0	0	0	0
0	6	29	1	10.395	2	0	-1	0.000	0	0	0	0	0	0	0	0
0	6	29	0	10.395	4	0	-1	0.000	0	0	0	0	0	0	0	0
0	6	29	1	10.395	4	0	-1	0.000	0	0	0	0	0	0	0	0
0	6	29	0	10.395	8	0	-1	0.000	0	0	0	0	0	0	0	0
0	6	29	1	10.395	8	0	-1	0.000	0	0	0	0	0	0	0	0
0	6	29	0	10.395	16	0	0	0.000	0	0	0	0	0	0	0	0
0	6	29	1	10.395	16	0	0	0.000	0	0	0	0	0	0	0	0
0	7	29	0	5.496	1	0	-1	0.000	0	0	0	0	0	0	0	0
